다음 행동: 보유 동료 한 명의 코스튬을 열고 공격 범위·SP 비용·쿨타임을 비교해 보세요. 실제 강화 효과는 해당 코스튬의 게임 내 설명을 확인하세요.	Try this: compare one ally’s costume ranges, SP costs and cooldowns. Check the in-game text for exact upgrade effects.	次の一歩：仲間一人のコスチュームで範囲・SP消費・クールタイムを比較しましょう。強化効果はゲーム内説明を確認してください。
레벨과 승급을 나눠 확인하세요	Check levels and ranks separately	レベルと昇級を分けて確認
경험치를 채우는 일과 최대 레벨을 높이는 일은 다릅니다.	Gaining experience and raising the level cap are different steps.	経験値をためることと、レベル上限を上げることは別の段階です。
동료는 전투 또는 슬라임을 통해 경험치를 얻습니다.	Allies gain experience through battles or slimes.	仲間は戦闘やスライムで経験値を獲得します。
레벨이 오르면 생명력·공격력·마법력이 증가합니다.	Leveling up increases HP, attack and magic attack.	レベルが上がるとHP・攻撃力・魔法力が増加します。
최대 레벨에 도달했다면 승급 가능 여부를 확인하세요. 승급은 최대 레벨을 높이는 수단입니다.	At the level cap, check whether you can rank up to raise it.	上限に達したら昇級できるか確認しましょう。昇級でレベル上限を上げられます。
다음 행동: 육성할 동료를 고르고 현재 레벨, 최대 레벨, 보유 성장 재료를 차례로 확인하세요.	Try this: choose an ally, then check their level, level cap and your growth materials.	次の一歩：育てる仲間を選び、現在のレベル、上限、育成素材を順に確認しましょう。
장비를 맞추기 전, 필요한 능력치부터	Choose the stats you need before equipment	装備を選ぶ前に、必要な能力値を知る
장비는 동료의 능력치를 보완하는 또 하나의 성장 수단입니다.	Equipment is another way to improve an ally’s stats.	装備は、仲間の能力値を補うもう一つの育成手段です。
장비는 부위에 따라 여러 능력치를 올려줍니다. 장착한 장비의 효과를 확인하세요.	Equipment slots provide different stat benefits. Check your equipped items.	装備は部位によって異なる能力値を上げます。装着中の効果を確認しましょう。
장비 제작은 재능 스킬입니다. 제작 재능이 성장하면 더 높은 등급의 장비를 만들 수 있습니다.	Equipment crafting is a talent skill. Improving it allows you to craft higher-grade gear.	装備製作は才能スキルです。才能が成長すると、より高い等級の装備を作れます。
사용하는 스킬과 장비의 능력치를 함께 읽어, 어떤 점을 보완할지 정해 보세요.	Read your skills alongside equipment stats to decide what to improve.	使用するスキルと装備の能力値を一緒に読み、補いたい点を決めましょう。
다음 행동: 장비를 바꾸기 전에 해당 동료가 사용하는 스킬 설명을 읽고, 현재 장비와 교체할 장비의 능력치를 비교하세요.	Try this: read the ally’s skill descriptions, then compare the current and replacement equipment.	次の一歩：仲間のスキル説明を読み、今の装備と交換先の能力値を比べましょう。
복귀 후에는 바뀐 일정부터	Check changed schedules when returning	復帰したら変更された日程から
예전에 기억하던 시즌 기간과 현재 공지가 다를 수 있습니다.	The current season dates may differ from what you remember.	記憶しているシーズン日程と、現在のお知らせが異なる場合があります。
이용하는 스토어 또는 런처에서 업데이트를 확인하고 접속하세요.	Check for updates in your store or launcher before signing in.	利用中のストアやランチャーで更新を確認してからログインしましょう。
황금 투기장 체험 시즌 42는 09.22 23:59에 종료하도록 일정이 변경되었습니다.	The Korean notice changes Golden Arena trial season 42 to end on Sep 22 at 23:59 KST.	韓国語のお知らせでは、黄金の闘技場体験シーズン42の終了が9月22日23:59（KST）に変更されています。
시즌 43은 09.23 점검 후 시작합니다. 현재 공지 기준 일정을 확인한 뒤 참여 계획을 세우세요.	Season 43 starts after maintenance on Sep 23 in the Korean notice. Check current notices before planning.	韓国語のお知らせではシーズン43は9月23日のメンテナンス後に開始します。最新日程を確認してください。
다음 행동: 행사 페이지의 달라진 시즌 일정과 최신 공지를 확인하세요. 기간은 한국 시간 기준이며 추가 공지가 우선합니다.	Try this: check the event schedule and latest notices. Summary times are KST; later notices take priority.	次の一歩：イベントの日程と最新のお知らせを確認しましょう。要約の時刻はKSTで、追加のお知らせが優先されます。
기간 미션은 횟수와 보상을 함께 확인	Check mission counts and rewards together	期間ミッションは回数と報酬を確認
새로 시작하는 미션은 참여 기간과 누적 조건을 먼저 읽어보세요.	For a new mission, first read the dates and cumulative requirements.	新しいミッションでは、まず期間と累積条件を確認しましょう。
고대 언데드 광부 부스팅 미션은 09.16 09:00부터 09.22 23:59까지 진행됩니다.	The Ancient Undead Miner boosting mission runs Sep 16, 09:00–Sep 22, 23:59 KST, per the Korean notice.	韓国語のお知らせでは古代アンデッド鉱夫ブースティングミッションは9月16日9:00～22日23:59（KST）です。
고대 언데드 광부와의 전투 횟수는 누적으로 계산됩니다.	Battles against the Ancient Undead Miner count cumulatively.	古代アンデッド鉱夫との戦闘回数は累積で計算されます。
6회 보상은 뽑기권 2장, 7회 보상은 4성 승급의 별 2개입니다. 전체 보상은 행사 공지에 있습니다.	The Korean notice lists 2 draw tickets for 6 battles and 2 four-star rank-up stars for 7. See the notice for all rewards.	韓国語のお知らせでは6回でガチャ券2枚、7回で星4昇級の星2個です。全報酬はお知らせをご確認ください。
다음 행동: 행사 페이지에서 전체 기간과 참여 조건을 읽고, 게임 내에서 완료한 누적 횟수를 확인하세요.	Try this: read the full dates and conditions, then check your accumulated progress in-game.	次の一歩：期間と参加条件を読み、ゲーム内で達成した累積回数を確認しましょう。
시즌 42·43 일정 변경	Season 42–43 schedule change	シーズン42・43の日程変更
09.16 이후 진행 이벤트	Events from Sep 16	9月16日以降のイベント
코스튬 강화	Costume upgrades	コスチューム強化
코스튬	Costumes	コスチューム
공격 순서	Attack order	攻撃順
배치	Positioning	配置
레벨	Levels	レベル
승급	Rank-ups	昇級
장비 제작	Equipment crafting	装備製作
장비	Equipment	装備
가장 마음에 드는 스킬 컷씬은?	Which skill cutscene is your favorite?	お気に入りのスキルカットシーンは？
공개된 콜라보 스킬 컷씬 중 가장 인상 깊었던 장면을 알려주세요. 참여자 중 추첨을 통해 보상이 지급됩니다.	Share your favorite collaboration skill cutscene. Winners are drawn from participants in the Korean event.	公開されたコラボスキルカットシーンのお気に入りを教えてください。韓国イベントでは参加者から抽選で報酬が贈られます。
공식 X 계정 팔로우와 게시글 좋아요 → 리포스트 → 좋아하는 콜라보 스킬 컷씬과 이유를 댓글로 남기기	Follow the official X account, like and repost the event post, then reply with your favorite cutscene and why.	公式Xをフォローし、対象投稿にいいね・リポスト後、お気に入りのカットシーンと理由を返信します。
참여자 중 10명 추첨, 뽑기권 3장	10 randomly selected participants receive 3 draw tickets each.	参加者から抽選で10名にガチャ券3枚。
09.18 발표 예정. 당첨자는 DM으로 UID를 확인하므로 수신 설정 확인	Results planned for Sep 18. Winners’ UIDs are confirmed by DM; check your message settings.	9月18日発表予定。当選者はDMでUIDを確認するため受信設定をご確認ください。
고대 언데드 광부 부스팅 미션	Ancient Undead Miner Boosting Mission	古代アンデッド鉱夫ブースティングミッション
빛 속성 고대 언데드 광부와 전투한 누적 횟수에 따라 보상을 받는 미션입니다.	Earn rewards for cumulative battles against the Light-type Ancient Undead Miner.	光属性の古代アンデッド鉱夫との累積戦闘回数に応じて報酬を受け取るミッションです。
이벤트 기간에 고대 언데드 광부와 전투. 미션 횟수는 누적으로 계산됩니다.	Battle the Ancient Undead Miner during the event. Mission counts accumulate.	期間中に古代アンデッド鉱夫と戦闘します。ミッション回数は累積で計算されます。
1회 마이룸 전용 트로피, 3회 쌀밥 40개, 6회 뽑기권 2장, 7회 4성 승급의 별 2개	1 battle: My Room trophy; 3: 40 Cooked Rice; 6: 2 draw tickets; 7: 2 four-star rank-up stars.	1回：マイルーム専用トロフィー、3回：白飯40個、6回：ガチャ券2枚、7回：星4昇級の星2個。
2·4·5회 보상을 포함한 전체 목록은 연결된 공지에서 확인하세요.	See the linked notice for the full list, including rewards for battles 2, 4 and 5.	2・4・5回の報酬を含む全一覧は、リンク先のお知らせをご確認ください。
크루즈 위 여름 이야기와 캐릭터, 디지털 굿즈를 돌아보세요.	Revisit summer stories, characters and digital gifts aboard the cruise.	クルーズでの夏の物語、キャラクター、デジタルグッズを振り返りましょう。
겨울 바니 테마의 캐릭터와 특별 콘텐츠를 만나보세요.	Meet winter bunny-themed characters and special content.	冬のバニーテーマのキャラクターと特別コンテンツをお楽しみください。
물놀이와 함께한 2주년의 기록을 둘러보세요.	Revisit the summer fun of the second anniversary.	水遊びを楽しんだ2周年の記録を振り返りましょう。
1.5주년 업데이트와 특별 페이지를 돌아보세요.	Revisit the 1.5th anniversary update and special site.	1.5周年のアップデートと特設ページを振り返りましょう。
첫 번째 주년의 여름 모험을 돌아보세요.	Revisit the first anniversary’s summer adventure.	1周年の夏の冒険を振り返りましょう。
첫 반주년의 이야기와 보상을 돌아보세요.	Revisit stories and rewards from the first half-anniversary.	最初の半周年の物語と報酬を振り返りましょう。
행사 장소와 부스, 프로그램, 출연진과 굿즈를 공식 기록에서 확인하세요.	Find the venue, booths, program, guests and merchandise in the official archive.	会場、ブース、プログラム、出演者、グッズを公式記録で確認できます。
황금 투기장 체험 시즌 42	Golden Arena Trial Season 42	黄金の闘技場体験シーズン42
황금 투기장 체험 시즌 43	Golden Arena Trial Season 43	黄金の闘技場体験シーズン43
종료일이 09.23에서 09.22로 하루 앞당겨졌습니다.	The end date moves forward one day, from Sep 23 to Sep 22.	終了日が9月23日から22日へ一日早まっています。
시작일이 09.24에서 09.23 점검 후로 변경되었습니다.	The start moves from Sep 24 to after maintenance on Sep 23.	開始日が9月24日から23日のメンテナンス後へ変更されています。
09.23 점검 후 — 09.30 23:59	Sep 23 after maintenance – Sep 30, 23:59 KST	9月23日メンテナンス後～9月30日23:59（KST）
한국 시간	KST (UTC+9)	韓国標準時（UTC+9）
참여 방법	How to participate	参加方法
주요 보상	Key rewards	主な報酬
전체 보상	All rewards	全報酬
보상	Rewards	報酬
발표	Results	発表
주년	 Anniversary	周年
09.16 시작 안내	Starts Sep 16 (KST)	9月16日開始（KST）
광부 부스팅 미션	Miner Boosting Mission	鉱夫ブースティングミッション
누적 전투 미션과 보상	Cumulative missions and rewards	累積戦闘ミッションと報酬
9월 쿠폰 안내	September coupon	9月のクーポン
9월 쿠폰 공지 확인	Read the September coupon notice	9月のクーポンのお知らせ
공식 쿠폰 공지	Official coupon notice	公式クーポンのお知らせ
시즌 일정 변경	Season schedule changes	シーズン日程の変更
황금 투기장 일정	Golden Arena schedule	黄金の闘技場の日程
시즌 42·43 변경 기간	Updated dates for seasons 42–43	シーズン42・43の変更日程
3주년 스페셜 PV	3rd Anniversary Special PV	3周年スペシャルPV
Splash Queen · 2주년 PV	Splash Queen · 2nd Anniversary PV	Splash Queen・2周年PV
ALL YOU NEED IS BUNNY · 2.5주년	ALL YOU NEED IS BUNNY · 2.5th Anniversary	ALL YOU NEED IS BUNNY・2.5周年
