브라운더스트2 홈	BrownDust2 home	ブラウンダスト2 ホーム
캐릭터 일러스트 크게 보기	Enlarge character artwork	キャラクターイラストを拡大
캐릭터 자세히 보기	Meet the characters	キャラクターを詳しく見る
일러스트 크게 보기	Enlarge artwork	イラストを拡大
이전 캐릭터	Previous character	前のキャラクター
다음 캐릭터	Next character	次のキャラクター
캐릭터 선택	Select a character	キャラクター選択
확대 보기 닫기	Close artwork	拡大表示を閉じる
영상 닫기	Close video	映像を閉じる
영상을 불러올 수 없습니다.	The video could not be loaded.	映像を読み込めませんでした。
전신 일러스트	full character artwork	全身イラスト
영상 보기	Watch video	映像を見る
를 조금 더 가까이.	 — A closer look.	をもっと身近に。
한국어 성우	Korean voice	韓国語キャスト
일본어 성우	Japanese voice	日本語キャスト
생일	Birthday	誕生日
키	Height	身長
공식 소개 원문	Official character profile	公式キャラクター紹介
어디서부터 시작할까요?	Where will you begin?	どこから始めますか？
지금 나의 상황을 고르면, 다음 할 일이 보입니다.	Choose where you are in your journey to find your next step.	今の状況を選んで、次の一歩を見つけましょう。
나에게 맞는 안내	Find your next step	あなたに合ったガイド
상황별 가이드	Guides for your journey	状況別ガイド
모험의 속도는 달라도,	Every adventure has its own pace.	冒険のペースは違っても、
다음 한 걸음은 어렵지 않도록.	Let us help you take the next step.	次の一歩は迷わずに。
처음 시작하는 유저라면	For your first adventure	初めてプレイする方へ
무엇을 해야 할지 모르겠다면	When you need a next step	次に何をするか迷ったら
오랜만에 다시 돌아왔다면	Welcome back to the adventure	久しぶりに戻ってきた方へ
처음 시작	Getting Started	初めての方
다음 할 일	What’s Next	次にやること
복귀 유저	Returning Players	復帰した方
첫 모험은 가볍게.	Start with the basics.	最初の冒険は気軽に。
설치부터 게임의 기본까지, 하나씩 살펴보세요.	From installation to the basics, take it one step at a time.	インストールから基本まで、一つずつ見てみましょう。
게임 설치	Install the game	ゲームのインストール
PC · Android · iOS 중 플레이할 플랫폼을 고르고 공식 스토어에서 설치하세요.	Choose PC, Android or iOS, then install from the official store.	PC・Android・iOSから選び、公式ストアでインストールしてください。
메인 이야기 따라가기	Follow the main story	メインストーリーを進める
스토리팩에서 브라운더스트2의 본편을 만나보세요. 팩마다 이어지는 이야기를 즐길 수 있습니다.	Experience the main story through the story packs, with a new chapter in every pack.	ストーリーカセットで本編を体験しましょう。カセットごとに続く物語を楽しめます。
코스튬과 전투 알아보기	Learn about costumes and combat	コスチュームと戦闘を知る
캐릭터와 코스튬, 장비와 전투의 기초는 공식 가이드에서 차근차근 확인하세요.	Explore the basics of characters, costumes, equipment and combat in the official guide.	キャラクター、コスチューム、装備、戦闘の基本を公式ガイドで確認しましょう。
설치 안내 보기	Installation help	インストールガイド
스토리팩 알아보기	Explore story packs	ストーリーカセットを見る
코스튬과 스킬 이해하기	Understand costumes and skills	コスチュームとスキルを知る
다음엔 무엇을 해볼까요?	What will you try next?	次は何をしてみますか？
이야기, 캐릭터 육성, 행사 중 지금 관심 있는 것부터 살펴보세요.	Choose what interests you: stories, character growth or events.	物語、キャラクター育成、イベントから気になるものを選びましょう。
이야기를 더 보고 싶어요	I want more stories	もっと物語を楽しみたい
스토리팩과 캐릭터팩 소개를 보고, 이어서 즐길 이야기를 찾아보세요.	Explore story and character packs to find your next adventure.	ストーリーカセットとキャラカセットを見て、次の物語を探しましょう。
캐릭터를 키우고 싶어요	I want to strengthen my team	キャラクターを育てたい
레벨·승급·장비를 나눠 살펴보고, 지금 필요한 성장을 정해 보세요.	Review levels, ranks and equipment to choose your next upgrade.	レベル・昇級・装備を分けて確認し、必要な育成を選びましょう。
지금 참여할 것을 찾고 있어요	I’m looking for current activities	今参加できるものを探したい
진행 중인 행사와 참여 조건을 살펴보세요.	Check ongoing events and their participation requirements.	開催中のイベントと参加条件を確認しましょう。
팩 소개 보기	Explore the packs	カセット紹介を見る
성장과 장비 가이드	Growth and equipment guide	育成と装備のガイド
행사 둘러보기	Explore events	イベントを見る
돌아온 모험가를 위해.	Welcome back, adventurer.	おかえりなさい、冒険者。
달라진 소식과 진행 중인 행사를 한곳에서 확인하세요.	Catch up on changes and ongoing events in one place.	変更点と開催中のイベントをまとめて確認しましょう。
최신 버전으로 업데이트	Update to the latest version	最新バージョンに更新
이용하던 스토어 또는 브라운더스트2 런처에서 게임을 업데이트하세요.	Update through the store or BrownDust2 launcher you already use.	利用中のストアまたはブラウンダスト2ランチャーで更新してください。
달라진 내용 살펴보기	Catch up on changes	変更点を確認
최신 업데이트와 개발자 노트로 새 콘텐츠를 확인하세요.	Read the latest updates and developer notes to discover new content.	最新アップデートと開発者ノートで新しいコンテンツを確認しましょう。
지금 받을 수 있는 것	Rewards to check now	今受け取れるもの
진행 중 행사와 쿠폰 공지에서 조건과 기간을 확인하세요.	Check current event and coupon notices for dates and conditions.	開催中のイベントとクーポンのお知らせで条件と期間を確認しましょう。
업데이트 안내 보기	Update help	アップデートガイド
복귀 후 확인할 일정	Schedules to check on your return	復帰後に確認したい日程
9월 쿠폰과 참여 방법	September coupon and redemption	9月のクーポンと利用方法
다른 팩, 다른 모험.	Every pack, a new adventure.	カセットごとに、新しい冒険。
본편부터 또 다른 시공간까지. 하나의 게임에서 여러 이야기를 만나보세요.	From the main story to alternate worlds, discover many adventures in one game.	本編から別の時空まで。一つのゲームでさまざまな物語に出会えます。
스토리팩 · 영상 연출 시안	Story pack · video concept	ストーリーカセット・映像演出案
대표 팩	representative pack	代表カセット
지금, 함께할 이야기.	Stories to share right now.	今、一緒に楽しむ物語。
행사 분류	Event categories	イベント分類
주년 · 반주년 기록	Anniversary archive	周年・半周年の記録
특별 행사 기록	Special event archive	特別イベントの記録
행사 기록 보기	View event archive	イベントの記録を見る
참여 방법과 보상	Participation and rewards	参加方法と報酬
모든 행사 둘러보기	Explore all events	すべてのイベントを見る
주년 · 반주년	Anniversaries	周年・半周年
특별 행사	Special Events	特別イベント
진행 중	Ongoing	開催中
예정	Upcoming	開催予定
종료	Ended	終了
모험의 한 장면.	Scenes from an adventure.	冒険のひとコマ。
썸네일	thumbnail	サムネイル
모험은 계속됩니다.	The adventure continues.	冒険は続く。
확인해 둘 소식	News to keep in mind	確認しておきたいお知らせ
진행 중·예정 행사 확인	See ongoing and upcoming events	開催中・開催予定のイベントを見る
최신 소식	Latest News	最新のお知らせ
공식 소식 최신	Latest official notices:	最新の公式お知らせ：
공식 소식	Official news	公式のお知らせ
전체 소식	All News	すべてのお知らせ
다음 이야기는,	The next story,	次の物語は、
당신의 차례.	Is yours.	あなたの番。
← 홈으로	← Back home	← ホームへ
조금 더 깊이 알아보기	Explore in more detail	もう少し詳しく知る
전투가 어렵거나 다음 성장이 고민될 때, 필요한 주제부터 읽어보세요.	Need help with combat or growth? Start with the topic you need.	戦闘や育成で迷ったら、必要なテーマから読んでみましょう。
상세 게임 가이드 주제	Detailed guide topics	詳しいゲームガイドのテーマ
공식 가이드 기반 ·	Based on the official guide ·	公式ガイドに基づく内容・
확인. 기초 가이드는 이전 버전 설명을 포함합니다. 현재 수치·강화 효과·이용 조건은 게임 내 설명과 최신 공지가 우선합니다.	checked. Some basic guides describe older versions. Current in-game text and notices take priority for values, upgrades and requirements.	確認。基礎ガイドには旧バージョンの説明が含まれます。現在の数値・強化効果・条件はゲーム内説明と最新のお知らせを優先してください。
공식 근거	Official source	公式の出典
9월 쿠폰을 확인하세요	Check the September coupon	9月のクーポンを確認
2026년 9월 사용	Valid in September 2026	2026年9月に利用
계정당 1회. 입력한 닉네임으로 우편 보상이 지급됩니다. Android는 게임 내 기타 → 쿠폰 등록에서도 입력할 수 있습니다.	Once per account. Rewards arrive by mail to the nickname entered. On Android, you can also redeem in-game through Etc. → Register Coupon.	1アカウントにつき1回。入力したニックネーム宛にメールで報酬が届きます。Androidではゲーム内のその他→クーポン登録からも入力できます。
공식 쿠폰 입력	Official coupon redemption	公式クーポン入力
쿠폰 공지 원문	Original coupon notice	クーポンのお知らせ原文
참여할 행사 보기	Find events to join	参加できるイベントを見る
플레이할 곳을 고르고, 모험을 시작하세요.	Choose your platform and begin your adventure.	プラットフォームを選んで、冒険を始めましょう。
모바일 · 태블릿	Mobile · Tablet	スマートフォン・タブレット
에서 설치	 — Install	でインストール
공식 배포: NEOWIZ · 확인일:	Published by NEOWIZ · Checked:	公式配信：NEOWIZ・確認日：
PC 설치 전에 확인하기	Before installing on PC	PCにインストールする前に
공식 게임 안내: Windows 10·11 / Intel Core i5 또는 Ryzen 5 이상 / RAM 3GB 이상 / DirectX 11 이상.	Official game guidance: Windows 10/11, Intel Core i5 or Ryzen 5 or better, at least 3GB RAM, DirectX 11 or later.	公式ゲーム案内：Windows 10・11／Intel Core i5またはRyzen 5以上／RAM 3GB以上／DirectX 11以上。
Google Play Games는 별도의 설치 사양을 적용합니다. 스토어에서 기기 적합성을 확인하세요.	Google Play Games has separate requirements. Check device compatibility in the store.	Google Play Gamesには別の動作要件があります。ストアで端末の対応状況を確認してください。
별도 Windows 런처는 공식 설치 안내에서 확인하세요.	See the official installation page for the standalone Windows launcher.	専用Windowsランチャーは公式インストール案内で確認してください。
Windows 공식 설치 안내	Official Windows installation guide	Windows公式インストール案内
설치가 잘 안 되나요?	Need help installing?	インストールでお困りですか？
업데이트하는 방법	How to update	アップデート方法
바탕화면 또는 시작 메뉴의 브라운더스트2 런처에서 업데이트하세요. 모바일에서는 설치에 이용한 공식 스토어의 업데이트를 확인하세요.	Update using the BrownDust2 launcher on your desktop or Start menu. On mobile, check the official store you used to install the game.	デスクトップやスタートメニューのランチャーから更新してください。モバイルではインストールした公式ストアを確認してください。
PC에서 실행되지 않아요	The game won’t start on PC	PCで起動できない
공식 PC 안내의 사양과 설치 방법을 먼저 확인하세요. 재설치는 계정 연결 상태를 확인한 뒤 진행하세요.	Check the official PC requirements and installation steps. Verify your account is linked before reinstalling.	まず公式のPC要件とインストール方法を確認してください。再インストール前にアカウント連携状況を確認しましょう。
게임에 들어갈 수 없어요	I can’t access the game	ゲームに入れない
게임 밖에서도 mobilecs@help.pmang.com으로 문의할 수 있습니다. 기기와 OS, 오류 상황을 함께 알려주세요.	You can contact mobilecs@help.pmang.com outside the game. Include your device, OS and a description of the error.	ゲーム外からもmobilecs@help.pmang.comへお問い合わせできます。端末・OS・エラーの状況をお知らせください。
계정 연동과 지역별 이용 조건	Account linking and regional availability	アカウント連携と地域別の利用条件
계정 연동, 지역별 배포, 플랫폼별 결제 조건은 공식 스토어와 고객센터 안내를 확인하세요.	Check the official store and support guidance for account linking, regional availability and platform-specific payment conditions.	アカウント連携、地域別配信、プラットフォームごとの決済条件は公式ストアとサポートの案内を確認してください。
공식 PC 설치 안내	Official PC installation guide	公式PCインストール案内
고객센터 이메일	Support email	サポートメール
네 명의 캐릭터, 네 가지 다른 매력.	Four characters. Four different charms.	四人のキャラクター、それぞれの魅力。
스베른 대륙에서 시작되는 이야기.	A story that begins in Svern.	スベルン大陸から始まる物語。
왕국에 드리운 그림자	A shadow over the kingdoms	王国に差す影
공식 세계관 원문	Official world story	公式の世界観紹介
지금 필요한 안내부터 만나보세요.	Find the guidance you need right now.	今必要なガイドから見てみましょう。
공식 게임 가이드	Official game guide	公式ゲームガイド
설치와 실행 도움말	Installation and launch help	インストールと起動のヘルプ
업데이트 · 확인된 이슈	Updates · Known Issues	アップデート・確認済みの不具合
공식 기초 가이드는 이전 버전 설명을 포함할 수 있습니다. 변경 사항은 최신 공지를 함께 확인하세요.	The official basic guide may describe older versions. Check the latest notices for changes.	公式基礎ガイドには旧バージョンの説明が含まれる場合があります。最新のお知らせも確認してください。
원하는 이야기를 펼치는 브라운더스트2의 팩 시스템.	Open the story you want with BrownDust2’s pack system.	好きな物語を開く、ブラウンダスト2のカセットシステム。
진행 중 행사부터 지난 모험의 기록까지.	From ongoing events to memories of past adventures.	開催中のイベントから、過去の冒険の記録まで。
달라진 시즌 일정	Updated season schedule	変更されたシーズン日程
한국 시간 기준	All times in Korea Standard Time (UTC+9)	時刻は韓国標準時（UTC+9）
일정 변경 공식 공지	Official schedule update	日程変更の公式お知らせ
공식 PV와 함께 다시 만나는 장면들.	Rediscover the adventure through official trailers.	公式PVで、冒険のシーンをもう一度。
공식 YouTube에서 최신 영상 보기	Latest videos on official YouTube	公式YouTubeで最新映像を見る
새로운 업데이트와 지금 알아둘 소식.	New updates and news to know now.	新しいアップデートと、今知っておきたいお知らせ。
이미지 · 보상표를 포함한 공식 원문	Official article with images and reward tables	画像・報酬表を含む公式記事
소식 검색	Search news	お知らせを検索
제목 또는 내용 검색	Search titles or content	タイトル・本文を検索
검색 초기화	Clear search	検索をリセット
검색 결과가 없습니다. 다른 검색어를 입력해 보세요.	No results. Try another search term.	検索結果がありません。別のキーワードで検索してください。
이 분류에 해당하는 행사가 없습니다.	There are no events in this category.	この分類のイベントはありません。
재생이 제한되면	If playback is unavailable,	再生できない場合は、
YouTube에서 보기	Watch on YouTube	YouTubeで見る
배경 영상 재생	Play background video	背景映像を再生
배경 영상 일시정지	Pause background video	背景映像を一時停止
분류	Category	分類
개발자 노트	Developer Notes	開発者ノート
확인된 이슈	Known Issues	確認済みの不具合
공지	Notice	お知らせ
이벤트	Event	イベント
점검	Maintenance	メンテナンス
상품	Shop	商品
전체	All	すべて
소식	News	お知らせ
행사	Events	イベント
가이드	Guide	ガイド
확인	Checked	確認
기준	As of	時点
기간과 지급 조건은 각 공지 참고	See each notice for dates and reward conditions	期間と配布条件は各お知らせをご確認ください
모션 줄이기 설정 · 아래로 스크롤해 둘러보기	Reduced motion · Scroll to explore	動きを減らす設定・スクロールで見る
영상을 준비하고 있습니다	Preparing the video	映像を準備しています
공식 Windows 안내	Official Windows guide	公式Windowsガイド
스토어의 국가·계정·기기에 따라 설치 가능 여부가 달라집니다. 페이지 언어 선택은 스토어 국가를 변경하지 않습니다.	Availability depends on your store country, account and device. The page language does not change your store country.	インストール可否はストアの国・アカウント・端末によって異なります。ページの言語を選んでもストアの国は変わりません。
Google Play Games PC 버전 확인	Check the Google Play Games PC version	Google Play GamesのPC版を確認
공식 Windows 설치 안내	Official Windows installation guide	Windows公式インストールガイド
출처 · 외부 원본	Sources · external originals	出典 · 外部の原文
세계관과 이어지는 이야기	The world and its unfolding stories	世界観と続く物語
이후 이야기 읽기 ↓	Read what comes next ↓	続く物語を読む ↓
아래 가이드에서 코스튬과 스킬, SP, 공격 순서부터 차근차근 익혀보세요.	Learn costumes, skills, SP and action order step by step in the guide below.	下のガイドでコスチューム・スキル・SP・行動順を順番に学びましょう。
참고자료 · 공식 가이드	References · official guides	参考資料 · 公式ガイド
위 설명을 확인하는 데 사용한 자료입니다. 가이드 내용은 이 페이지에서 바로 읽을 수 있습니다.	Sources used to verify the explanations above. Read the guide directly on this page.	上の説明を確認するために使用した資料です。ガイドの内容はこのページでそのまま読めます。
